Plataforma,IP,Hostname,Ciudad,Modelo,EoL Status,ios,Version
Móvil,192.168.251.57,SW_GBOIP_ING_2,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.66,SW_GBOIP_MED_1,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE3/c3560e-universalk9-mz.122-55.SE3
Móvil,192.168.251.67,SW_GBOIP_MED_2,Not Info Yet,WS-C3750G-48TS,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.52,SW_GBOIP_NEI_1,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE3/c3560e-universalk9-mz.122-55.SE3
Móvil,192.168.251.53,SW_GBOIP_NEI_2,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.72,SW_GBOIP_PAR_1,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.73,SW_GBOIP_PAR_2,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.58,SW_GBOIP_PAS_1,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE3/c3560e-universalk9-mz.122-55.SE3
Móvil,192.168.251.59,SW_GBOIP_PAS_2,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.62,SW_GBOIP_PER_1,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE3/c3560e-universalk9-mz.122-55.SE3
Móvil,192.168.251.63,SW_GBOIP_PER_2,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.46,SW_GBOIP_PRA_1,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.47,SW_GBOIP_PRA_2,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.64,SW_GBOIP_SIN_1,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE3/c3560e-universalk9-mz.122-55.SE3
Móvil,192.168.251.65,SW_GBOIP_SIN_2,Not Info Yet,WS-C3750G-24TS-1U,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
